experiment,experiment_label,seed,config_path,metric_path,trace_path,metric_sha256,trace_sha256,record_count,systems
test_disagreement,Specialist disagreement,20260618,experiments/test_disagreement/config.yaml,results/metrics/test_disagreement.json,results/traces/test_disagreement.jsonl,95c1d1b35893452b9295a42cbf923d4f8e70541d5415940bfd7b4038979b0cd0,8b952b5481861f557f792133589227afbfb2f0e1341c362438cbe41738648352,360,"mean_ensemble,static_weighted_ensemble,veto_mavs,pure_mavs_gc"
test_false_positive_trap,False positive trap,20260618,experiments/test_false_positive_trap/config.yaml,results/metrics/test_false_positive_trap.json,results/traces/test_false_positive_trap.jsonl,6c9503994639cf23779e81fa75064d2ba53dde2512563566f5ff892747f77a36,b063225a3671ae732385e71611ebb9ab182baeac65a641ed554d0e1160f6dcc1,480,"mean_ensemble,static_weighted_ensemble,veto_mavs,pure_mavs_gc"
test_mitigation_veto,Mitigation versus hard veto,20260618,experiments/test_mitigation_veto/config.yaml,results/metrics/test_mitigation_veto.json,results/traces/test_mitigation_veto.jsonl,3673772f991c2a59758e658f98964df772f58c042fa758323d6bbfa99511d98b,4ba00bb3911852cf4613c2a4cc6a5b4ef7b41c8dc382eddd881aa9d88b7b5612,400,"mean_ensemble,static_weighted_ensemble,veto_mavs,pure_mavs_gc"
